name,def,code
ambre,(inv) Jaune profond doré ou rougeâtre. Implique souvent une idée de transparence.,#AD390E
auréolin,[jaune ~] (inv) Jaune d'or doux transparent.,#EFD242
aurore,(inv) Orangé clair ou jaune doré.,#F8CD59
banane,[~ jaune ~] (inv) Jaune brûni profond.,#D1B606
beurre,(inv) Entre jaune pâle et blanc crème soutenu.,#F0E36B
beurre,[~ frais] (inv) Beurre clair.,#FFF48D
blé,(inv) Jaune chaud légèrement brillant.,#E8D630
blond,cheveux. Entre châtain clair et doré.,#E2BC74
bouton d'or,[~ jaune ~] (inv) Jaune lumineux et chaud de la couleur de la fleur de même nom.,#F6DC12
bulle,[papier ~] (inv) Beige clair moyennement saturé.,#EDD38C
caca d'oie,(inv) Jaune sale verdâtre.,#CDCD0D
canari,[jaune ~] (inv) Jaune vif très légèrement verdâtre.,#E7F00D
chamois,(inv) Jaune clair légèrement ocré. Couleur de la peau de chamois.,#D0C07A
champagne,(inv) Jaune paille délavé.,#FBF2B7
chrome,[jaune de ~] (inv) pigment. Jaune verdâtre à orangé.,#FFFF05
citron,[~ jaune ~] (inv) Jaune clair,#F7FF3C
fauve,Ocre orangé à roux ou tirant sur le roux.,#AD4F09
flave,Blond doré clair.,#E6E697
impérial,[jaune ~] (inv) Jaune doux et chaud très légèrement orangé.,#FFE436
jaune,Couleur du citron du soufre du bouton d'or. Couvre de nombreuses teintes depuis l'ocre et le jaune safran jusqu'au jaune moutarde ou canari.,#FFFF21
maïs,[~ jaune ~] (inv) Jaune-orangé laiteux.,#FFDE75
Mars,[jaune de ~] (inv) Ocre-jaune.,#EED153
mastic,(inv) Beige clair à jaune grisâtre. Couleur du mastic de vitrier.,#B3B191
miel,(inv) Jaune d'or un peu plus chaud reflets sombres. Implique une certaine transparence. Plus jaune que l'ambre.,#DAB30A
mimosa,[jaune ~] (inv) Jaune clair chaud mais doux.,#FEF86C
moutarde,[~ jaune ~] (inv) Jaune soutenu très légèrement verdâtre.,#C7CF00
nankin,[~ jaune ~] Entre jaune chamois clair et abricot. De la couleur de la toile de Nankin.,#F7E269
Naples,[jaune de ~] (inv) pigment. Jaune-beige très clair.,#FFF0BC
ocre,(inv) Brun-jaune à brun-rouge clair et légèrement pâle.,#DD985C
or,(inv) Jaune sombre couleur du métal de même nom. Sous-entend une certaine brillance. Peut désigner un ton froid ou chaud selon le contexte.,#DBCB12
or,[jaune d'~] (inv) Jaune vif et chaud.,#EFD807
orpiment,(inv) D'un beau jaune doré pouvant tirer sur l'orangé profond.,#FCD21C
paille,[~ jaune ~] (inv) Jaune pâle légèrement orangé.,#FEE347
poil de chameau,"(inv) Tabac-jaune couleur de la matière de même nom. L'équivalent anglais ""camel"" est (trop) souvent utilisé.",#B67823
poussin,[jaune ~] (inv) Jaune chaud clair et doux qui rappelle le côté duveteux du poussin.,#F7E35F
queue de vache,(inv) cheveux. (familier) Blond jaunâtre ou roux passé pisseux sâle.,#A89874
sable,(inv) Beige clair.,#E0CDA9
safran,(inv) Jaune soutenu tirant sur l'orangé.,#F3D617
soufre,[~ jaune ~] (inv) Jaune clair. Couleur du soufre.,#FFFF6B
topaze,[~ jaune ~] (inv) Jaune pâle et transparent.,#FAEA73
vanille,(inv) Beige clair.,#E1CE9A
vénitien,[blond ~] (inv) cheveux. Blond tirant sur le roux.,#E7A854
